ID,TE,Family,SuperFamily,Female,Male,Female_subject_coverage,Male_subject_coverage
mdg1#LTR/Gypsy,mdg1,Gypsy,LTR,4,11,0.0983957219251337,0.08099173553719008
gypsy#LTR/Gypsy,gypsy,Gypsy,LTR,1,23,0.19574240192796893,0.12747181102178864
copia#LTR/Copia,copia,Copia,LTR,131,245,0.701549426850102,0.8047609788616982
Bari1#DNA/Tc1-Mariner,Bari1,Tc1-Mariner,DNA,1,1,0.7569444444444444,0.17476851851851852
jockey#LINE/Jockey,jockey,Jockey,LINE,7,39,0.07783153101878201,0.14632751047093676
17.6#LTR/Gypsy,17.6,Gypsy,LTR,4,96,0.10915445624411883,0.06381906170184166
R1A1-element#LINE/R1,R1A1-element,R1,LINE,2,1,0.13704256908140405,0.43297236743838685
Cr1a#LINE/CR1,Cr1a,CR1,LINE,6,34,0.06942580164056673,0.13920252664824323
TAHRE#LINE/Jockey,TAHRE,Jockey,LINE,4,135,0.10565803306890949,0.1407959617842062
Helitron#RC/Helitron,Helitron,Helitron,RC,1,0,0.9946808510638298,0.0
gypsy7#LTR/Gypsy,gypsy7,Gypsy,LTR,1,1,0.1997812613926358,0.04028436018957346
G5A#LINE/Jockey,G5A,Jockey,LINE,15,217,0.18549806406195002,0.320274064593988
invader5#LTR/Gypsy,invader5,Gypsy,LTR,1,1,0.0950965824665676,0.0316988608221892
FB#DNA/Tc1-Mariner,FB,Tc1-Mariner,DNA,15,19,0.5257986738999397,0.45260302655372603
invader4#LTR/Gypsy,invader4,Gypsy,LTR,1,8,0.40547504025764897,0.30462962962962964
Max-element#LTR/Bel-Pao,Max-element,Bel-Pao,LTR,14,75,0.518717023976491,0.11685678666043318
Dm88#LTR/Copia,Dm88,Copia,LTR,2,13,0.2184071961386573,0.48184088837884365
Doc#LINE/Jockey,Doc,Jockey,LINE,6,133,0.05202821869488536,0.13049608147352515
gypsy10#LTR/Gypsy,gypsy10,Gypsy,LTR,2,691,0.06043956043956043,0.1486844077292696
invader1#LTR/Gypsy,invader1,Gypsy,LTR,4,92,0.14366319444444445,0.4689683618012424
Tom1#LTR/Gypsy,Tom1,Gypsy,LTR,252,137,0.046895466261038556,0.051044156158178894
HB#DNA/Tc1-Mariner,HB,Tc1-Mariner,DNA,3,64,0.572897761645493,0.6232229280096794
flea#LTR/Gypsy,flea,Gypsy,LTR,7,50,0.15446393098359726,0.16062375844259036
Stalker2#LTR/Gypsy,Stalker2,Gypsy,LTR,29,8,0.0964546402502607,0.04058589676746611
hopper#DNA/Transib,hopper,Transib,DNA,2,20,0.20766550522648083,0.5765156794425088
pogo#DNA/Tc1-Mariner,pogo,Tc1-Mariner,DNA,245,64,0.7771863483724474,0.8742780528052807
Porto1#LINE/Jockey,Porto1,Jockey,LINE,4,1,0.2419372063220846,0.28278513455788123
invader6#LTR/Gypsy,invader6,Gypsy,LTR,5,11,0.13981576253838277,0.30466176607425327
Ivk#LINE/I,Ivk,I,LINE,5,6,0.11695668271010735,0.11464889547081326
G-element#LINE/Jockey,G-element,Jockey,LINE,1,1,0.048090197883110905,0.12494247583985274
X-element#LINE/Jockey,X-element,Jockey,LINE,1,17,0.13481012658227848,0.2587118391660461
Rt1c#LINE/R1,Rt1c,R1,LINE,3,35,0.1437932512707453,0.2891052728274849
297#LTR/Gypsy,297,Gypsy,LTR,6,43,0.09471050750536097,0.05835729840251343
rover#LTR/Gypsy,rover,Gypsy,LTR,1,12,0.1434818256354195,0.06901931310922839
S2#DNA/Tc1-Mariner,S2,Tc1-Mariner,DNA,7,25,0.19193083573487033,0.214985590778098
transib3#DNA/Transib,transib3,Transib,DNA,37,14,0.4838053454078426,0.6391655517566027
Burdock#LTR/Gypsy,Burdock,Gypsy,LTR,2,72,0.4844798003431602,0.1590495502521708
rooA#LTR/Bel-Pao,rooA,Bel-Pao,LTR,28,12,0.0641694940671453,0.22875388181778422
Tc1-2#DNA/Tc1-Mariner,Tc1-2,Tc1-Mariner,DNA,29,24,0.21373437368906795,0.18836171938361712
transib2#DNA/Transib,transib2,Transib,DNA,1,183,0.13009845288326302,0.2980774403787477
baggins#LINE/Loa,baggins,Loa,LINE,3,24,0.08955315117060945,0.08805550461519653
Tc1#DNA/Tc1-Mariner,Tc1,Tc1-Mariner,DNA,11,16,0.2943904834661137,0.2995573229291717
McClintock#LTR/Gypsy,McClintock,Gypsy,LTR,2,5,0.0913953488372093,0.0890232558139535
Xanthias#LTR/Copia,Xanthias,Copia,LTR,2,33,0.09651444959188177,0.12982237998783336
accord#LTR/Gypsy,accord,Gypsy,LTR,5,7,0.06369529983792546,0.030736281546654316
S-element#DNA/Tc1-Mariner,S-element,Tc1-Mariner,DNA,7,16,0.3288347597103357,0.32412874423963134
gypsy3#LTR/Gypsy,gypsy3,Gypsy,LTR,1,0,0.0474688082604331,0.0
mariner2#DNA/Tc1-Mariner,mariner2,Tc1-Mariner,DNA,5,160,0.5359649122807018,0.6939350328947367
gypsy2#LTR/Gypsy,gypsy2,Gypsy,LTR,5,10,0.10372752521561175,0.11467621692734979
gtwin#LTR/Gypsy,gtwin,Gypsy,LTR,3,1,0.08379435973552828,0.04182971258939414
G5#LINE/Jockey,G5,Jockey,LINE,1,20,0.0792833607907743,0.20844316309719937
gypsy12#LTR/Gypsy,gypsy12,Gypsy,LTR,17,43,0.12267279195882697,0.10913481453158358
Doc3-element#LINE/Jockey,Doc3-element,Jockey,LINE,17,64,0.13148423926532637,0.4213080168776368
accord2#LTR/Gypsy,accord2,Gypsy,LTR,7,10,0.12001867413632118,0.15539869281045754
G3#LINE/Jockey,G3,Jockey,LINE,2,30,0.07947882736156352,0.1448136083966703
gypsy6#LTR/Gypsy,gypsy6,Gypsy,LTR,2,8,0.09992333248147202,0.11242972144134936
diver2#LTR/Bel-Pao,diver2,Bel-Pao,LTR,1,38,0.03965832824893228,0.3601736189161128
TART-B#LINE/Jockey,TART-B,Jockey,LINE,9,316,0.09898212460630332,0.2299956277193089
Transpac#LTR/Gypsy,Transpac,Gypsy,LTR,2,125,0.059249380834444657,0.13037302343303486
HMS-Beagle2#LTR/Gypsy,HMS-Beagle2,Gypsy,LTR,1,13,0.0592797783933518,0.046079266993394416
HeT-A#LINE/Jockey,HeT-A,Jockey,LINE,14,1134,0.12397548202249832,0.19171000454906428
Tirant#LTR/Gypsy,Tirant,Gypsy,LTR,3,40,0.3116740949253265,0.23014602392681222
Idefix#LTR/Gypsy,Idefix,Gypsy,LTR,3,200,0.08923672019070751,0.04988665497233844
I-element#LINE/I,I-element,I,LINE,2,5,0.16402904487060138,0.16551852541426176
F-element#LINE/Jockey,F-element,Jockey,LINE,3,16,0.22698952138204476,0.1453642735768904
opus#LTR/Gypsy,opus,Gypsy,LTR,2,89,0.09905597659885654,0.20388903579341142
Doc2-element#LINE/Jockey,Doc2-element,Jockey,LINE,1,26,0.14512424305700564,0.2904733604253337
Juan#LINE/Jockey,Juan,Jockey,LINE,3,63,0.3888888888888889,0.052059445118935205
HMS-Beagle#LTR/Gypsy,HMS-Beagle,Gypsy,LTR,3,37,0.025441329179646935,0.10103561505430667
blood#LTR/Gypsy,blood,Gypsy,LTR,50,17,0.06856950067476383,0.03855679923791379
412#LTR/Gypsy,412,Gypsy,LTR,14,33,0.057845154713134096,0.06234406974462478
TART-A#LINE/Jockey,TART-A,Jockey,LINE,17,478,0.07169336745425228,0.306365044060223
hobo#DNA/hAT,hobo,hAT,DNA,4,12,0.2963839134842852,0.3081840711952236
Rt1b#LINE/R1,Rt1b,R1,LINE,1,43,0.846838135757107,0.5951122764253235
roo#LTR/Bel-Pao,roo,Bel-Pao,LTR,39,234,0.04412162848150529,0.045130780887490056
Helena#LINE/Jockey,Helena,Jockey,LINE,1,1,0.3917995444191344,0.9901290812452543
Quasimodo#LTR/Gypsy,Quasimodo,Gypsy,LTR,4,147,0.09861919588466224,0.23449634354892618
springer#LTR/Gypsy,springer,Gypsy,LTR,2,1,0.1437185263715876,0.21097270076861913
BS#LINE/Jockey,BS,Jockey,LINE,4,7,0.04244457409568261,0.31421903650608435
transib4#DNA/Transib,transib4,Transib,DNA,1,4,0.10316265060240964,0.4164156626506024
Circe#LTR/Gypsy,Circe,Gypsy,LTR,3,39,0.08782997762863536,0.09537773188779901
Stalker4#LTR/Gypsy,Stalker4,Gypsy,LTR,3,5,0.3413054309915297,0.028808261992118493
Rt1a#LINE/R1,Rt1a,R1,LINE,7,38,0.04206087173653691,0.0914025206734062
1360#DNA/P,1360,P,DNA,24,83,0.1405959714481275,0.1342618935701739
aurora-element#LTR/Bel-Pao,aurora-element,Bel-Pao,LTR,1,12,0.056319580877537655,0.3451393436658663
Osvaldo#LTR/Gypsy,Osvaldo,Gypsy,LTR,1,5,0.9714841218405703,0.6036292935839274
TART-C#LINE/Jockey,TART-C,Jockey,LINE,10,197,0.09270945702984537,0.14889469332325778
hopper2#DNA/Transib,hopper2,Transib,DNA,1,39,0.1902071563088512,0.30679092825985477
INE-1#DNA/Helitron,INE-1,Helitron,DNA,10,23,0.8096563011456629,0.8188287198462963
P-element#DNA/P,P-element,P,DNA,17,53,0.4854003520913009,0.41646383810061555
Tc3#DNA/Tc1-Mariner,Tc3,Tc1-Mariner,DNA,0,4,0.0,0.4281411359724613
1731#LTR/Copia,1731,Copia,LTR,0,39,0.0,0.4424235403151066
mdg3#LTR/Gypsy,mdg3,Gypsy,LTR,0,6,0.0,0.21806486682369997
gypsy8#LTR/Gypsy,gypsy8,Gypsy,LTR,0,19,0.0,0.3507355674757024
ZAM#LTR/Gypsy,ZAM,Gypsy,LTR,0,37,0.0,0.10489434306861692
G4#LINE/Jockey,G4,Jockey,LINE,0,99,0.0,0.18716469676013245
3S18#LTR/Bel-Pao,3S18,Bel-Pao,LTR,0,32,0.0,0.29924196049624546
frogger#LTR/Copia,frogger,Copia,LTR,0,43,0.0,0.6660453877061693
GATE#LTR/Bel-Pao,GATE,Bel-Pao,LTR,0,23,0.0,0.2553855903833671
BS3#LINE/Jockey,BS3,Jockey,LINE,0,29,0.0,0.651897514929686
NOF#DNA/MuDR,NOF,MuDR,DNA,0,4,0.0,0.27053140096618356
invader3#LTR/Gypsy,invader3,Gypsy,LTR,0,3,0.0,0.1976659372720642
Fw3#LINE/Jockey,Fw3,Jockey,LINE,0,51,0.0,0.2545075501464954
gypsy4#LTR/Gypsy,gypsy4,Gypsy,LTR,0,5,0.0,0.26751313485113837
R1-2#LINE/R1,R1-2,R1,LINE,0,34,0.0,0.4580681153058238
gypsy9#LTR/Gypsy,gypsy9,Gypsy,LTR,0,37,0.0,0.19817798729744884
G2#LINE/Jockey,G2,Jockey,LINE,0,13,0.0,0.0770222685116302
G6#LINE/Jockey,G6,Jockey,LINE,0,2,0.0,0.5724779627815867
Fw2#LINE/Jockey,Fw2,Jockey,LINE,0,19,0.0,0.24830252860123037
Doc4-element#LINE/Jockey,Doc4-element,Jockey,LINE,0,5,0.0,0.21211035471157288
gypsy11#LTR/Gypsy,gypsy11,Gypsy,LTR,0,13,0.0,0.17241678827044682
BS4#LINE/Jockey,BS4,Jockey,LINE,0,4,0.0,0.8952254641909814
invader2#LTR/Gypsy,invader2,Gypsy,LTR,0,7,0.0,0.20859819337571098
jockey2#LINE/Jockey,jockey2,Jockey,LINE,0,145,0.0,0.1349857160101397
Tabor#LTR/Gypsy,Tabor,Gypsy,LTR,0,11,0.0,0.1646265239185593
micropia#LTR/Gypsy,micropia,Gypsy,LTR,0,13,0.0,0.07119011733551193
diver#LTR/Bel-Pao,diver,Bel-Pao,LTR,0,3,0.0,0.2356020942408377
Stalker#LTR/Gypsy,Stalker,Gypsy,LTR,0,7,0.0,0.0780634745629233
Bari2#DNA/Tc1-Mariner,Bari2,Tc1-Mariner,DNA,0,11,0.0,0.6704545454545455
